tic_id,file,class,confidence,snr,period,depth_pct
161457906,tess2018206045859-s0001-0000000161457906-0120-s_lc.fits,Other/Noise,70.3,0.23,5.84926,0.0734
165123340,tess2018206045859-s0001-0000000165123340-0120-s_lc.fits,Eclipsing Binary,40.7,0.62,9.30862,0.0649
167307093,tess2018206045859-s0001-0000000167307093-0120-s_lc.fits,Other/Noise,90.2,0.36,1.71048,0.1738
167602738,tess2018206045859-s0001-0000000167602738-0120-s_lc.fits,Planet Transit,67.1,0.19,0.52967,0.0409
167793452,tess2018206045859-s0001-0000000167793452-0120-s_lc.fits,Planet Transit,98.7,1.86,24.09251,0.086
177035006,tess2018206045859-s0001-0000000177035006-0120-s_lc.fits,Planet Transit,98.7,0.27,14.20098,0.131
177165274,tess2018206045859-s0001-0000000177165274-0120-s_lc.fits,Planet Transit,69.5,1.65,22.28272,0.1732
179518944,tess2018206045859-s0001-0000000179518944-0120-s_lc.fits,Planet Transit,97.0,0.89,16.25108,0.1625
197596594,tess2018206045859-s0001-0000000197596594-0120-s_lc.fits,Planet Transit,98.6,0.35,19.41969,0.044
197613411,tess2018206045859-s0001-0000000197613411-0120-s_lc.fits,Planet Transit,98.8,-0.28,21.75758,0.0608
197617428,tess2018206045859-s0001-0000000197617428-0120-s_lc.fits,Planet Transit,95.2,5.95,27.4866,0.5269
201251167,tess2018206045859-s0001-0000000201251167-0120-s_lc.fits,Other/Noise,88.9,0.1,0.68988,0.0811
204524968,tess2018206045859-s0001-0000000204524968-0120-s_lc.fits,Planet Transit,49.5,-0.25,13.85386,0.1346
206357465,tess2018206045859-s0001-0000000206357465-0120-s_lc.fits,Planet Transit,54.6,1.51,13.48893,0.2636
206554876,tess2018206045859-s0001-0000000206554876-0120-s_lc.fits,Planet Transit,93.9,0.57,9.15138,0.0149
214568651,tess2018206045859-s0001-0000000214568651-0120-s_lc.fits,Planet Transit,98.6,1.08,21.13454,0.0655
220436113,tess2018206045859-s0001-0000000220436113-0120-s_lc.fits,Planet Transit,98.0,0.33,3.455,0.0742
229804894,tess2018206045859-s0001-0000000229804894-0120-s_lc.fits,Other/Noise,52.8,0.14,1.26545,0.0364
231240261,tess2018206045859-s0001-0000000231240261-0120-s_lc.fits,Planet Transit,40.9,2.29,12.63448,0.0587
231627290,tess2018206045859-s0001-0000000231627290-0120-s_lc.fits,Planet Transit,95.0,0.4,3.11381,0.0359
231715395,tess2018206045859-s0001-0000000231715395-0120-s_lc.fits,Eclipsing Binary,67.0,5.95,16.5181,4.4469
233966959,tess2018206045859-s0001-0000000233966959-0120-s_lc.fits,Planet Transit,78.9,1.03,6.86689,0.0714
